1	28	Prime カットソー	3100
2	24	Extra タイトスカート	7800
3	13	Rose ジャケット	13010
4	26	Laser ドレスシャツ	9810
5	17	Star カーディガン	2300
6	26	Laser シューズ	13020
7	13	Rose カーディガン	7810
8	6	Genes ブーツ	9820
9	14	Extra タイトスカート	7810
10	27	Prime カットソー	3100
11	2	Extra ニットTシャツ	9820
12	28	Z3 シューズ	7820
13	29	AAU ジャケット	13030
14	29	Mersenne パンプス	5410
15	1	Mersenne ショール	7820
16	29	Genes ワンピース	6820
17	30	AAU タイトスカート	5510
18	19	First スニーカー	4210
19	22	Star フレアスカート	2100
20	26	Z3 バッグ	4510
21	29	AAU タイトスカート	5520
22	18	Genes バッグ	7830
23	9	AAU ジャケット	13050
24	2	Laser ドレスシャツ	9840
25	22	First デニムシャツ	2510
26	11	Rose スカート	9050
27	22	Star カーディガン	2310
28	23	Genes カーディガン	4220
29	8	Rose ジャケット	13070
30	17	Genes ブーツ	9850
31	13	Rose ショール	7040
32	3	Prime スニーカー	6240
33	6	Extra ニットTシャツ	9870
34	3	Prime デニムシャツ	4530
35	30	AAU パンプス	4130
36	21	Rose ショール	7060
37	16	Z3 ドレスシャツ	6350
38	13	Star フレアスカート	2120
39	20	Z3 シューズ	7870
40	13	Mersenne スカート	6970
41	28	Prime スニーカー	6260
42	29	Star Tシャツ	1210
43	30	First デニムシャツ	2520
44	8	Extra ニットTシャツ	9900
45	23	Rose スカート	9100
46	12	Laser シューズ	13140
47	20	Z3 ドレスシャツ	6370
48	29	Mersenne ジャケット	15180
49	30	First Tシャツ	1210
50	13	AAU カーディガン	6580
51	15	Laser シューズ	13160
52	22	Extra ニットTシャツ	9920
53	2	Z3 シューズ	7900
54	17	Genes ワンピース	6890
55	29	Extra ニットTシャツ	9930
56	6	Extra ジャケット	19260
57	8	Genes ワンピース	6890
58	30	Mersenne スカート	7000
59	6	Genes カーディガン	4260
60	16	Z3 シューズ	7910
61	15	Laser ドレスシャツ	9950
62	19	Star フレアスカート	2130
63	12	Z3 バッグ	4570
64	3	First Tシャツ	1210
65	13	AAU タイトスカート	5580
66	5	First カットソー	1820
67	21	AAU カーディガン	6600
68	12	Prime Tシャツ	2030
69	4	Extra ニットTシャツ	9960
70	30	First スニーカー	4270
71	20	First Tシャツ	1220
72	26	Prime カットソー	3150
73	24	Z3 バッグ	4570
74	10	Star フレアスカート	2130
75	10	Star ミュール	2010
76	23	Genes ワンピース	6920
77	27	Extra ニットTシャツ	9970
78	27	Extra カーディガン	7330
79	22	AAU カーディガン	6610
80	13	Rose スカート	9160
81	21	Genes ブーツ	9980
82	9	AAU ニットTシャツ	7940
83	17	Z3 バッグ	4580
84	8	AAU パンプス	4170
85	21	Laser バッグ	17330
86	21	Rose スカート	9180
87	11	Mersenne ジャケット	15310
88	12	Laser ジャケット	28580
89	18	Genes カーディガン	4280
90	24	Genes ブーツ	10000
91	30	Mersenne パンプス	5510
92	10	Star バッグ	3780
93	3	Laser ドレスシャツ	10010
94	30	Rose パンプス	8480
95	30	Star フレアスカート	2140
96	2	Laser ポロシャツ	7150
97	25	Rose ショール	7150
98	17	Rose カーディガン	7970
99	17	Star Tシャツ	1220
100	19	First デニムシャツ	2550
101	6	Rose カーディガン	7980
102	12	Laser ドレスシャツ	10030
103	11	Mersenne パンプス	5520
104	6	Rose ジャケット	13310
105	28	Laser ドレスシャツ	10030
106	20	Prime デニムシャツ	4610
107	3	Laser シューズ	13320
108	11	AAU カーディガン	6660
109	9	AAU カーディガン	6660
110	24	Genes カーディガン	4310
111	6	Star バッグ	3790
112	20	First ジャケット	3900
113	13	Genes ブーツ	10060
114	21	AAU パンプス	4210
115	30	Star カーディガン	2360
116	23	AAU タイトスカート	5650
117	19	Star Tシャツ	1230
118	3	Prime カットソー	3180
119	11	Mersenne スカート	7090
120	12	Star カーディガン	2360
121	21	Genes バッグ	8020
122	18	Genes ミニスカート	3600
123	27	Z3 ポロシャツ	5350
124	26	Prime スニーカー	6380
125	29	AAU ニットTシャツ	8030
126	21	Extra パンプス	6380
127	24	AAU ニットTシャツ	8040
128	14	Extra カーディガン	7420
129	12	Star フレアスカート	2160
130	8	Prime スニーカー	6390
131	12	Star ミュール	2040
132	4	Mersenne パンプス	5570
133	5	First デニムシャツ	2580
134	13	Star ミュール	2040
135	12	Z3 ジャケット	14970
136	28	Z3 ドレスシャツ	6500
137	1	Mersenne ジャケット	15490
138	12	Z3 ポロシャツ	5370
139	4	Genes ブーツ	10120
140	27	Prime ジャケット	8570
141	27	Laser バッグ	17570
142	2	Laser バッグ	17590
143	2	Prime デニムシャツ	4650
144	9	AAU タイトスカート	5690
145	12	Z3 ドレスシャツ	6520
146	6	Genes ワンピース	7040
147	6	Extra パンプス	6420
148	4	Extra タイトスカート	8090
149	8	Extra ジャケット	19700
150	4	Genes バッグ	8090
151	24	AAU パンプス	4250
152	5	First ジャケット	3940
153	13	Star Tシャツ	1240
154	20	AAU タイトスカート	5710
155	29	Rose スカート	9350
156	24	Star バッグ	3840
157	14	Extra ジャケット	19760
158	21	Extra タイトスカート	8110
159	8	AAU ニットTシャツ	8110
160	21	Rose カーディガン	8110
161	5	First スニーカー	4370
162	17	AAU パンプス	4270
163	23	Rose カーディガン	8120
164	8	Genes ミニスカート	3640
165	6	Star Tシャツ	1250
166	20	Z3 ポロシャツ	5420
167	27	Laser シューズ	13550
168	17	Z3 ドレスシャツ	6570
169	8	AAU カーディガン	6780
170	24	Star ミュール	2060
171	16	Z3 ジャケット	15140
172	15	Laser バッグ	17760
173	8	Star バッグ	3860
174	28	Laser ポロシャツ	7310
175	27	Prime スニーカー	6470
176	22	Mersenne スカート	7210
177	13	Rose パンプス	8670
178	21	Star カーディガン	2400
179	23	Rose ジャケット	13590
180	15	Laser ポロシャツ	7310
181	13	Star カーディガン	2400
182	10	Star カーディガン	2400
183	13	Star バッグ	3860
184	26	Genes カーディガン	4390
185	22	Star ミュール	2070
186	27	Z3 ドレスシャツ	6590
187	28	Prime Tシャツ	2090
188	24	Z3 シューズ	8160
189	27	First スニーカー	4390
190	22	Extra タイトスカート	8160
191	17	AAU カーディガン	6800
192	10	Star Tシャツ	1250
193	3	Prime Tシャツ	2090
194	21	AAU ニットTシャツ	8160
195	12	First ジャケット	3970
196	24	AAU ジャケット	13610
197	3	Z3 ポロシャツ	5440
198	29	Mersenne カーディガン	8390
199	30	Genes バッグ	8180
200	8	Mersenne パンプス	5660
201	29	Star バッグ	3880
202	4	Star フレアスカート	2200
203	13	Mersenne ショール	8180
204	20	AAU パンプス	4300
205	2	Extra パンプス	6510
206	3	Genes バッグ	8190
207	6	Extra タイトスカート	8190
208	20	Z3 バッグ	4720
209	7	Prime ジャケット	8720
210	7	Prime Tシャツ	2100
211	15	Laser ジャケット	29480
212	23	Rose パンプス	8740
