1	122	1	3600
2	325	1	8440
3	364	1	7640
4	354	1	3370
2	159	1	8110
5	360	1	7420
6	244	1	8270
8	257	1	2100
7	235	1	18010
11	278	2	29950
10	123	1	5350
9	46	2	13140
12	77	1	9970
13	30	1	9850
15	277	1	4380
14	10	1	3100
17	207	1	8190
16	253	1	2650
18	237	1	6560
19	89	1	4280
20	165	1	1250
22	274	1	6940
21	205	1	6510
23	361	2	3380
24	380	2	6800
26	9	1	7810
25	16	1	6820
28	164	1	3640
27	229	1	2430
29	229	1	2430
30	205	1	6510
31	296	1	16100
32	378	2	14250
35	22	1	7830
33	181	1	2400
34	257	1	2100
37	134	1	2040
36	324	1	5940
38	352	3	7410
39	236	1	1270
40	14	1	5410
41	290	1	4390
42	184	1	4390
43	293	1	6970
45	110	1	4310
44	368	1	10710
48	147	1	6420
46	108	1	6660
47	23	3	13050
49	217	1	20040
50	8	1	9820
52	261	1	8520
51	378	1	14250
53	257	1	2100
54	16	1	6820
55	1	1	3100
57	222	1	1260
56	72	1	3150
58	162	1	4270
60	320	2	5830
59	15	1	7820
62	354	1	3370
61	266	1	13870
64	116	1	5650
63	337	2	14130
65	234	1	29650
66	65	1	5580
68	200	1	5660
67	89	1	4280
70	288	1	8350
69	296	1	16100
71	150	1	8090
72	184	1	4390
73	276	1	6630
74	28	1	4220
75	194	1	8160
77	38	1	2120
76	121	1	8020
78	62	1	2130
80	108	1	6660
79	147	1	6420
81	386	2	4940
82	279	1	10480
83	22	1	7830
85	121	1	8020
84	182	1	2400
86	280	1	1280
87	122	1	3600
88	90	1	10000
89	52	1	9920
90	89	1	4280
90	89	2	4280
91	124	1	6380
93	181	1	2400
92	267	1	1280
94	165	1	1250
95	305	1	8390
97	339	1	7830
98	97	1	7150
96	92	1	3780
99	164	1	3640
100	43	1	2520
101	117	1	1230
102	27	1	2310
103	77	1	9970
104	122	1	3600
105	189	2	4390
106	54	2	6890
107	197	1	5440
108	168	1	6570
109	301	1	30110
110	372	1	16420
112	6	2	13020
111	301	1	30110
114	368	1	10710
113	76	1	6920
116	66	3	1820
115	322	3	2160
117	135	1	14970
121	139	1	10120
119	54	1	6890
118	121	2	8020
120	8	1	9820
122	131	1	2040
123	38	1	2120
125	378	1	14250
124	259	2	10430
126	113	1	10060
127	206	1	8190
129	324	1	5940
130	227	1	7400
128	53	1	7900
133	88	1	28580
131	79	1	6610
132	364	1	7640
134	115	1	2360
134	231	1	3700
135	166	1	5420
136	55	1	9930
137	352	2	7410
138	147	1	6420
142	337	1	14130
140	335	1	5970
141	286	1	1280
139	99	1	1220
144	259	1	10430
145	369	1	6010
143	349	1	6750
146	217	1	20040
147	330	1	9000
148	346	1	15780
149	69	1	9960
151	275	1	29930
150	170	1	2060
153	192	1	1250
152	375	3	2160
153	74	2	2130
155	151	1	4250
154	242	1	10390
156	259	1	10430
158	233	2	2430
157	319	1	2160
159	340	1	8480
160	272	1	4480
161	373	1	4050
162	162	1	4270
163	321	2	4100
164	217	1	20040
165	174	1	7310
165	238	1	4450
167	90	1	10000
166	165	1	1250
169	279	1	10480
170	184	1	4390
168	11	1	9820
171	105	1	10030
172	269	1	7690
173	177	1	8670
174	386	1	4940
172	302	1	5800
175	67	3	6600
177	154	1	5710
176	21	1	5520
178	368	1	10710
180	25	1	2510
179	240	1	2220
181	258	1	7230
182	207	2	8190
183	114	2	4210
186	284	1	8350
184	310	1	4410
185	341	1	10660
187	295	1	5580
188	322	1	2160
189	122	1	3600
191	67	1	6600
192	285	1	2240
190	79	1	6610
193	257	1	2100
194	297	1	20400
195	33	1	9870
196	231	1	3700
197	210	1	2100
198	376	1	2170
199	273	1	8550
200	128	1	7420
201	156	1	3840
203	133	1	2580
202	311	3	6790
