1	2012-01-01 01:18:51	18	55137	3600
2	2012-01-01 07:12:34	8	9023	16550
3	2012-01-01 07:12:34	11	9023	7640
4	2012-01-01 07:12:34	12	9023	3370
5	2012-01-01 16:06:45	30	62709	7420
6	2012-01-01 16:06:45	6	62709	8270
7	2012-01-01 20:09:57	26	26209	18010
8	2012-01-01 20:09:57	30	26209	2100
9	2012-01-01 20:46:18	12	36920	26280
10	2012-01-01 20:46:18	27	36920	5350
11	2012-01-01 20:46:18	21	36920	59900
12	2012-01-01 21:47:15	27	58394	9970
13	2012-01-01 21:47:15	17	58394	9850
14	2012-01-01 22:20:29	27	33481	3100
15	2012-01-01 22:20:29	9	33481	4380
16	2012-01-02 01:05:55	12	985	2650
17	2012-01-02 01:05:55	6	985	8190
18	2012-01-02 01:05:55	22	985	6560
19	2012-01-02 12:52:52	18	57098	4280
20	2012-01-02 12:52:52	6	57098	1250
21	2012-01-02 14:27:16	2	80462	6510
22	2012-01-02 14:27:16	30	80462	6940
23	2012-01-02 14:27:16	7	80462	6760
24	2012-01-02 14:27:16	14	80462	13600
25	2012-01-02 17:50:20	29	99095	6820
26	2012-01-02 17:50:20	14	99095	7810
27	2012-01-02 20:39:39	29	68012	2430
28	2012-01-02 20:39:39	8	68012	3640
29	2012-01-02 21:53:25	29	55614	2430
30	2012-01-02 22:17:05	2	92142	6510
31	2012-01-03 00:29:14	17	55915	16100
32	2012-01-03 00:42:38	17	49187	28500
33	2012-01-03 01:29:28	13	7663	2400
34	2012-01-03 01:29:28	30	7663	2100
35	2012-01-03 01:29:28	18	7663	7830
36	2012-01-03 01:35:51	17	9659	5940
37	2012-01-03 01:35:51	13	9659	2040
38	2012-01-03 12:02:04	4	30431	22230
39	2012-01-03 17:08:26	30	21242	1270
40	2012-01-03 18:08:18	29	4739	5410
41	2012-01-03 19:27:13	23	774	4390
42	2012-01-03 19:27:13	26	774	4390
43	2012-01-03 20:42:55	24	61857	6970
44	2012-01-03 22:03:43	8	22484	10710
45	2012-01-03 22:03:43	24	22484	4310
46	2012-01-04 00:49:34	11	7754	6660
47	2012-01-04 00:49:34	9	7754	39150
48	2012-01-04 00:49:34	6	7754	6420
49	2012-01-04 01:53:24	23	46455	20040
50	2012-01-04 02:43:09	6	84694	9820
51	2012-01-04 08:38:12	17	39312	14250
52	2012-01-04 08:38:12	8	39312	8520
53	2012-01-04 12:21:01	30	76333	2100
54	2012-01-04 12:47:58	29	34392	6820
55	2012-01-04 12:47:58	28	34392	3100
56	2012-01-04 19:07:22	26	24804	3150
57	2012-01-04 19:07:22	19	24804	1260
58	2012-01-04 19:33:56	17	59736	4270
59	2012-01-04 22:03:10	1	81079	7820
60	2012-01-04 22:03:10	13	81079	11660
61	2012-01-04 22:08:49	21	60072	13870
62	2012-01-04 22:08:49	12	60072	3370
63	2012-01-04 22:35:12	8	92017	28260
64	2012-01-04 22:35:12	23	92017	5650
65	2012-01-04 23:01:57	19	75856	29650
66	2012-01-05 00:22:23	13	57919	5580
67	2012-01-05 00:58:37	18	40709	4280
68	2012-01-05 00:58:37	8	40709	5660
69	2012-01-05 05:50:11	17	4643	16100
70	2012-01-05 05:50:11	23	4643	8350
